City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,mount isa,-20.7333,139.5,14.87,51,5,4.63,AU,1689698831
226,passagem franca,-6.1797,-43.7836,35.5,25,2,2.74,BR,1689698832
227,tyukalinsk,55.8732,72.1967,23.39,60,100,7.25,RU,1689698832
228,punta arenas,-53.15,-70.9167,3.06,75,0,8.75,CL,1689698832
229,aldama,22.9167,-98.0667,33.77,41,4,3.71,MX,1689698833
230,saldanha,-33.0117,17.9442,15.03,79,47,6.66,ZA,1689698677
231,canyon rim,40.7066,-111.8219,31.19,33,75,4.63,US,1689698833
232,san patricio,28.017,-97.5169,36.06,36,4,4.75,US,1689698555
233,pacific grove,36.6177,-121.9166,19.1,91,100,2.57,US,1689698833
234,la ronge,55.1001,-105.2842,18.14,63,75,5.66,CA,1689698548
235,brookings,44.3114,-96.7984,23.03,53,0,6.17,US,1689698788
236,nogliki,51.8333,143.1667,9.84,98,35,1.31,RU,1689698834
237,severnoye,56.3491,78.3619,17.88,62,57,3.59,RU,1689698834
238,quellon,-43.1167,-73.6167,7.14,93,0,2.06,CL,1689698732
239,acapulco de juarez,16.8634,-99.8901,30.9,70,75,2.57,MX,1689698752
240,klyuchi,52.2667,79.1667,21.25,44,89,3.53,RU,1689698686
241,mangrol,21.1167,70.1167,28.0,85,100,7.55,IN,1689698835
242,biograd na moru,43.9433,15.4519,34.39,57,0,3.4,HR,1689698835
243,nova xavantina,-14.6667,-52.35,36.37,20,38,2.01,BR,1689698835
244,afaahiti,-17.75,-149.2833,23.93,75,38,6.79,PF,1689698836
245,fort mcmurray,56.7268,-111.381,19.77,68,0,2.06,CA,1689698697
246,venado,22.9333,-101.0833,23.98,37,26,5.36,MX,1689698836
247,huarmey,-10.0681,-78.1522,23.31,64,28,4.29,PE,1689698836
248,urengoy,65.9667,78.3667,16.56,65,83,2.44,RU,1689698836
249,baoro,5.6667,15.9667,23.91,87,92,1.6,CF,1689698837
250,coquimbo,-29.9533,-71.3436,19.85,63,0,3.09,CL,1689698744
251,leeton,-34.5667,146.4,5.05,95,0,2.89,AU,1689698837
252,porto velho,-8.7619,-63.9039,35.03,52,20,2.57,BR,1689698630
253,aswan,24.0934,32.907,42.61,7,0,5.66,EG,1689698777
254,chimoio,-19.1164,33.4833,18.92,59,0,2.03,MZ,1689698686
255,horta,38.5333,-28.6333,22.8,76,20,2.06,PT,1689698759
256,vadso,70.0744,29.7487,16.09,82,20,1.54,NO,1689698838
257,yusufeli,40.8204,41.5443,20.55,72,2,2.44,TR,1689698838
258,greymouth,-42.4667,171.2,9.07,92,100,2.04,NZ,1689698838
259,sao jose da coroa grande,-8.8978,-35.1478,26.53,70,20,5.32,BR,1689698839
260,askoy,60.4092,5.226,13.35,47,75,2.06,NO,1689698839
261,angarsk,52.5367,103.8864,14.4,95,0,1.71,RU,1689698839
262,akjoujt,19.6969,-14.4164,39.41,26,93,4.89,MR,1689698840
263,retreat,38.8245,-85.8533,28.86,72,87,1.34,US,1689698840
